Modality,Warning,CL,Correct
Visual,Warning,1.00,0.67
Visual,Warning,0.25,1.00
Visual,Warning,0.50,0.83
Visual,Warning,0.75,0.75
Visual,Warning,0.00,0.83
Visual,Warning,0.00,0.25
Visual,Warning,0.75,0.67
Visual,Warning,1.00,1.00
Visual,Warning,0.25,0.83
Visual,Warning,0.00,0.92
Visual,Warning,1.00,0.92
Visual,Warning,0.00,0.83
Visual,Warning,0.25,0.33
Visual,Warning,0.00,0.75
Visual,Warning,0.00,0.92
Visual,Warning,1.00,0.83
Visual,Warning,0.75,0.67
Visual,Warning,0.00,0.58
Visual,Warning,1.00,0.83
Visual,Warning,1.00,0.83
Visual,NoWarning,0.25,0.75
Visual,NoWarning,1.00,0.83
Visual,NoWarning,0.75,0.75
Visual,NoWarning,0.00,0.67
Visual,NoWarning,1.00,0.75
Visual,NoWarning,0.00,0.17
Visual,NoWarning,1.00,0.75
Visual,NoWarning,1.00,0.83
Visual,NoWarning,0.75,0.75
Visual,NoWarning,0.00,0.67
Visual,NoWarning,1.00,0.75
Visual,NoWarning,1.00,0.67
Visual,NoWarning,1.00,0.92
Visual,NoWarning,0.50,0.50
Visual,NoWarning,1.00,1.00
Visual,NoWarning,0.75,0.75
Visual,NoWarning,1.00,0.92
Visual,NoWarning,0.50,0.67
Visual,NoWarning,1.00,0.83
Visual,NoWarning,0.75,0.75
Auditory,Warning,1.00,0.83
Auditory,Warning,0.25,0.92
Auditory,Warning,1.00,0.83
Auditory,Warning,0.50,0.50
Auditory,Warning,0.50,0.75
Auditory,Warning,0.00,0.25
Auditory,Warning,0.75,0.75
Auditory,Warning,0.75,0.75
Auditory,Warning,0.00,0.92
Auditory,Warning,0.75,0.42
Auditory,Warning,0.50,0.67
Auditory,Warning,1.00,0.42
Auditory,Warning,0.00,0.83
Auditory,Warning,0.75,0.50
Auditory,Warning,1.00,0.58
Auditory,Warning,0.75,0.75
Auditory,Warning,0.75,0.75
Auditory,Warning,0.75,0.83
Auditory,Warning,1.00,0.83
Auditory,Warning,1.00,0.83
Auditory,NoWarning,0.50,1.00
Auditory,NoWarning,1.00,0.92
Auditory,NoWarning,0.25,0.58
Auditory,NoWarning,1.00,0.83
Auditory,NoWarning,1.00,0.75
Auditory,NoWarning,0.25,0.25
Auditory,NoWarning,0.75,0.42
Auditory,NoWarning,0.75,0.83
Auditory,NoWarning,1.00,0.67
Auditory,NoWarning,0.50,0.33
Auditory,NoWarning,1.00,0.92
Auditory,NoWarning,0.75,0.75
Auditory,NoWarning,1.00,1.00
Auditory,NoWarning,0.75,0.50
Auditory,NoWarning,0.50,0.67
Auditory,NoWarning,0.75,0.75
Auditory,NoWarning,1.00,1.00
Auditory,NoWarning,1.00,0.75
Auditory,NoWarning,1.00,1.00
Auditory,NoWarning,0.75,0.67
